
assignment  
backpack  
blackboard  
calculator  
classmate  
clipboard  
composition  
dictionary  
division  
education  
eraser  
experiment  
glue stick  
graph  
handwriting  
headphones  
highlighter  
homework  
journal  
learning  
library  
lunchroom  
multiplication  
notebook  
principal  
project  
punctuation  
scissors
schedule
worksheet  
