
pencil
eraser
notebook
teacher
student
classroom
homework
reading
writing
spelling
crayons
marker
ruler
scissors
folder
paper
bookshelf
desk
chair
recess
lunchbox
schoolbag
library
chalkboard
computer
lesson
subject
schedule
math
science
